smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C=C(CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C)C(C)C,8.4149,440.756,20.23,1,1,5,0.42530113,5.446806026
CC(O)c1cn(CC2C(=O)OC3C2CCC2(CC2)C2CCC4(CC4)C32)nn1,2.8696,371.481,77.24,1,6,3,0.826931807,5.433476564
CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)OC2C1OC[C@@](C)(O)CCO,2.4334,578.699,155.89,4,10,7,0.354553891,5.398337422
C=C1C(=O)OC2C1CCC(C)C13OCOC1CC(=O)C23C,1.6049,292.331,61.83,0,5,0,0.501174806,5.394029123
C=C1C(=O)OC2C=C(C)CCC=C(C)CCC1O2,3.2773,248.322,35.53,0,3,0,0.374745014,5.393518895
CC(C)=CCCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C,8.1689,426.729,20.23,1,1,4,0.449368245,5.37802707
C=C1C(=O)OC2C1CCC(C)C1(OC=O)CC1CCC2(C)O,1.977,308.374,72.83,1,5,2,0.479568937,5.36780756
CC(=O)OC1CC(O)(CO)C2C(C)C(=O)CC32CC13C,0.6667,282.336,83.83,2,5,2,0.727165013,5.358731392
C=C1C(=O)OC2C1C(O)CC(=C)C1(O)CC(C)(Cl)C21C,1.5436,298.766,66.76,2,4,0,0.308084926,5.332664265
C=C1C(=O)OC2C1CCC1(C)OC13CCC(C)(O)C23,1.5667,264.321,59.06,1,4,0,0.409692022,5.318856105
C=C1C(=O)OC2C1CCC1(COC(=O)O1)C1CCC(C)(O)C21,1.5608,308.33,82.06,1,6,0,0.540050561,5.308141495
C=C1C(=O)OC2C1CCC1(COC(=O)O1)C1CCC(C)(O)C12,1.5608,308.33,82.06,1,6,0,0.540050561,5.308141495
N#CC1CCN(C=O)C2CC2C2C1(C)CC2C2CC2(C)C,3.06528,286.419,44.1,0,2,2,0.732265295,5.285194129
C=C1C(=O)OC2CC(C)C3CCC4(C)OC34CC12,2.4518,248.322,38.83,0,3,0,0.375332625,5.272419783
C=C1C(=O)[C@@]23O[C@]2(C)CC[C@@H]13,1.063,150.177,29.6,0,2,0,0.381507441,5.267024934
CC(=O)OCC12C(=O)CC(C)C(C)(CCc3ccoc3)C1C(O)CCC21CO1,2.9168,390.476,89.27,1,6,5,0.614196451,5.259162247
C=C1CCC23C(C)CCC(C)(C)C2C2OC2(C)CCC13,4.9626,274.448,12.53,0,1,0,0.448965939,5.255892516
CC(=O)OC1CC2(C)C(C(C)C)CCC2C23CC2C(C)CCC13C,5.4528,332.528,26.3,0,2,2,0.628248731,5.250389527
CC(O)C1CC2C(C)C(CO)C2C2C(C)C(=O)C(=C)C2C1,2.2752,292.419,57.53,2,3,2,0.767715412,5.22666917
C=C1C(=O)OC2C1CCC1(C)CC13CC=C(C)C23,3.2406,244.334,26.3,0,2,0,0.371305449,5.224937459
C=C1CCC23OC2(C)CCC2=C(C)C(=O)OC2C13,2.516,246.306,38.83,0,3,0,0.374337208,5.214271426
C=C1C(=O)OC2C1CCC1(C)OC13CCC(=C)C23,2.3719,246.306,38.83,0,3,0,0.284945212,5.213921459
C=C1CCC23OC2(C)CCC2C(C)C(=O)OC2C13,2.4518,248.322,38.83,0,3,0,0.375332625,5.212302552
CC1=C2[C@H]3OC(=O)[C@]3(C)[C@H]1CC[C@@H]2C,2.2943,192.258,26.3,0,2,0,0.434576967,5.211399657
C=C1CCC2C(=C)C(=O)OC2C2OC2(C)CCC1F,2.71,266.312,38.83,0,3,0,0.292741286,5.197110255
C=C1CC(N(C)C)C2C(=C)C2CC2(C)C(C)C(O)CC12C,3.4821,289.463,23.47,1,2,1,0.747084825,5.194802903
COC(=O)c1cn(CC2C(=O)OC3C2CCC2(CC2)C2CCC4(CC4)C32)nn1,2.6029,385.464,83.31,0,7,3,0.743972521,5.193284762
CC1=C2C3OC(=O)C(C)C3CCC3(C)OC23CC1=O,1.7749,262.305,55.9,0,4,0,0.4929789,5.191808775
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C(C=CC(C)(C)O)OC,3.708,334.5,49.69,2,3,4,0.770700192,5.185441055
C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(C)C)CC(=C)[C@@H]1C[C@H](C(Cl)(C)C)C(=O)C21C,4.0666,380.912,52.6,0,4,3,0.320359171,5.182166142
C=C1CC[C@@H](C(C)C)C(O)C2CC(=O)OC2C2C(C)C(=O)CC12,2.7425,320.429,63.6,1,4,1,0.595887547,5.181566449
C=C1C(=O)OC2C1CCC1(C)OC13CC=C(C)C23,2.3719,246.306,38.83,0,3,0,0.284945212,5.179054074
CC(=O)OC[C@]12C[C@@H](O)[C@](C)(Cl)C(=O)C[C@](C)(O)[C@@H]2C[C@@]2(C)CC[C@H](OC(C)C)CCC12,4.0182,473.05,93.06,2,6,4,0.473845548,5.17854386
CC1=CCC23OC2(C)CCC2C(C)C(=O)OC2C13,2.4518,248.322,38.83,0,3,0,0.375332625,5.177435168
CCOC(=O)C1CCCN1CC1C(=O)OC2C1CCC1(CC1)C1CCC3(CC3)C21,3.5521,401.547,55.84,0,5,4,0.67450498,5.16721265
C=C1C(=O)OC2CC3(C)CCCC(C)C34OC4C12,2.4518,248.322,38.83,0,3,0,0.375332625,5.138940091
C=C1C(=O)OC2C1CCC1(CC1)C1CCC3(CC3)C21,3.4646,258.361,26.3,0,2,0,0.491074124,5.131468481
CC1C=CCC2(C)CCC3C(C)CCC132,4.415,204.357,0,0,0,0,0.512513046,5.125320339
C=C1C(=O)OC2CC3(C)CCC(O)C4(CO4)C3CC12,1.4242,264.321,59.06,1,4,0,0.408276823,5.123934212
C=C1C(=O)O[C@H]2[C@H]1[C@@H](O)[C@@H](O)[C@H](C)CC[C@@]1(C)O[C@@H]21,0.3934,268.309,79.29,2,5,0,0.377383841,5.093389734
OCC1OC(OC2OC=CC3C(O)C4OC4(CO)C23)C(O)C(O)C1O,-3.5903,362.331,161.6,6,10,4,0.275700139,5.091268747
C=C1C(=O)O[C@H]2[C@H]1CC/C(CO)=CCC[C@@]1(C)C[C@@]21COC(=O)OC(C)(C)C,3.925,392.492,82.06,1,6,3,0.445233788,5.090458962
C=C1C(=O)OC2C1CCC(=C)C1(O)CC(O)C(C)(Cl)C21,1.5436,298.766,66.76,2,4,0,0.308084926,5.088331949
C=C1C(=O)OC2C1CCC(=C)C1(O)CC3OC3(C)C21,1.3427,262.305,59.06,1,4,0,0.309658006,5.08037049
C=C1C(=O)OC2C1CCC(=C)C1(O)CC(Cl)C(C)(O)C21,1.5436,298.766,66.76,2,4,0,0.308084926,5.076319758
O=C1OC2C(CCC3(C)CCC3)C1CCC2(C)CC1CCC1,5.1049,304.474,26.3,0,2,5,0.660089946,5.065505958
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C1C(=O)C(C)=CC1O,2.872,316.441,57.53,2,3,1,0.731430773,5.059501362
C=C1C(=O)OC2C1CCC1(C)CC1CCC1(C)OC21,2.8419,262.349,38.83,0,3,0,0.382637856,5.037373394
C=C1C(=O)OC2C1CCC(C(F)F)=CCCC1(C)OC21,3.0072,284.302,38.83,0,3,1,0.321437256,5.037117194
C=C1CCC2C(C3C1CCC3(C)O)C2(C)CC1C=C(C)C(=O)O1,3.6277,316.441,46.53,1,3,2,0.624924213,5.031508326
C=C1C(=O)OC2C1CCC1(C)OC1CCC1(C)OC21,1.9732,264.321,51.36,0,4,0,0.381178492,5.030870926
C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(C)=CC)C[C@H](O)C[C@@]1(O)C(=O)C[C@@H]21,0.8679,322.357,93.06,2,6,2,0.445047632,5.028375273
C=C1C(=O)O[C@]2(C)CC[C@@H]3O[C@@]3(C)O[C@@H]2CC[C@@]1(C)O,1.6833,282.336,68.29,1,5,0,0.415779786,5.025791886
O=C1OC2C(CCC3(CC3)C3CCC4(CC4)C23)C1CN1CCOCC1,2.8568,345.483,38.77,0,4,2,0.72159428,5.019840089
C=C1C(O)C(O)C2C(=C)C(=O)OC2C2C(=C)C(OC(C)=O)CC12,0.4998,320.341,93.06,2,6,1,0.415108419,5.018084799
C=C1C(=O)OC2C1CCC(C)(O)C1CC(=O)C(C)(OCl)C21,1.7633,314.765,72.83,1,5,1,0.589597315,5.013843654
C[C@@H]1CCC=C2C3=C(C(=O)CCC(Cl)CCC(C)(C)[C@@H]2C)[C@@H]31,5.6819,320.904,17.07,0,1,0,0.524515973,5.005548742
CC(C)[C@]12O[C@H]1[C@@H]1O[C@]21C,0.9511,140.182,25.06,0,2,1,0.506517105,5.002776552
C=C1CC(N(C)C)C2C(=C)C(=O)OC2C2C1CC(N(C)C)C2C,2.1767,318.461,32.78,0,4,2,0.443767758,4.9990906
C=C1C(OC(C)C)CC2C(C)CC(OC(C)C)C3C(C)C(=O)OC3C12,3.9834,350.499,44.76,0,4,4,0.568100208,4.997903896
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C=CC=C(C)CO,3.8607,302.458,40.46,2,2,3,0.613701074,4.992475259
O=C1OC2C(CCC3(CC3)C3CCC4(CC4)C23)C1Cn1cc(-c2ccccc2)nn1,4.4833,403.526,57.01,0,5,3,0.709095155,4.991060366
O=C1OC2C(CCC3(CC3)C3CCC4(CC4)C23)C1CN1CCCC1,3.6204,329.484,29.54,0,3,2,0.724788718,4.990676339
CC1=CC[C@]23O[C@@]2(C)CC[C@H]13,2.2741,150.221,12.53,0,1,0,0.38098919,4.989929896
C=C1CCC23C(C)CCC(C(C)C)C2C13,4.2709,204.357,0,0,0,1,0.559489108,4.985008465
C=C1CC(O)C2C(=C)C(=O)OC2C2C1CC(O)C2(O)CO,-0.8746,296.319,107.22,4,6,1,0.284465352,4.981363273
C=C1CC[C@@H]2[C@H]([C@H]3[C@H]1CC[C@]3(C)O)[C@@]2(C)C=C(C)C(=O)C(C)=O,3.4703,316.441,54.37,1,3,3,0.492617163,4.975749417
C=C1CC(OC(C)C)C2C(=C)C(=O)OC2C2C1CC(OC(C)C)C2C,3.9035,348.483,44.76,0,4,4,0.438981289,4.963930828
C=C1C(=O)OC2C1CCC(C)(O)C1(O)C=CC(C)(O)C21,0.2971,280.32,86.99,3,5,0,0.337320816,4.962256188
C=C1CC(O)C2C(=C)C(=O)OC2C2C(=C)C(OCOC)CC12,1.5864,306.358,64.99,1,5,3,0.371130714,4.961252182
CC1=CCC2(C)CCCC(C)(C)C23CC13,4.5591,204.357,0,0,0,0,0.507410106,4.957037829
C=C1C(=O)OC2C1CCC(CF)=CCCC1(C)OC21,2.7116,266.312,38.83,0,3,1,0.316886127,4.95664546
C=C1C2CC2C2(C)Cc3occ(C)c3C(O)C12,3.00592,230.307,33.37,1,2,0,0.694966581,4.956131652
C=C1C(=O)OC2C1C(OC(C)C)CC(=C)C1CCNC(C)(O)C12,1.7719,321.417,67.79,2,5,2,0.46085367,4.952985198
C=C1CC(=O)C2C(=C)C(=O)OC2C2C1CC(O)C2C,1.2463,262.305,63.6,1,4,0,0.405197123,4.942838085
C=C1C(=O)OC2C1CCC(C(F)(F)F)=CCCC1(C)OC21,3.3044,302.292,38.83,0,3,0,0.298160785,4.942603135
C=C1C(O)CC2(C(C)C(C)C)CC12C,2.9957,194.318,20.23,1,1,2,0.669964527,4.927231361
C=C1C(=O)OC2C1CCC1(CC1)C1CCC(C)(O)C12,2.4354,262.349,46.53,1,3,0,0.53853689,4.911275048
C=C1CC(O)C2C(=C)C(=O)OC2C2C1CC(O)C2C,1.0381,264.321,66.76,2,4,0,0.389575785,4.906832364
C=C1C(=O)OC2C1CCC(=C)C1CC(O)C(C)(Cl)C12,2.4287,282.767,46.53,1,3,0,0.321218968,4.904527678
C=C1CCC2C(C3C1CCC3(C)O)C2(C)CC=CC(C)(C)O,4.0831,304.474,40.46,2,2,3,0.771230988,4.900660669
C=C1CCC2OC2(C)CCC2C1CC2(C)CO,2.9088,236.355,32.76,1,2,1,0.560663687,4.89994307
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C=CC=C(C)C,4.8883,286.459,20.23,1,1,2,0.565903062,4.897644145
C=C1C(=O)OC2C1CCC(=C)C1(O)CC(O)C(C)(O)CC(=O)C12,0.2563,322.357,104.06,3,6,0,0.335597561,4.896218018
CC1=CC23OC2(CC(C)(C)C3=O)C(C)CCC1O,2.2303,250.338,49.83,1,3,0,0.529588585,4.894325817
C=C1C(=O)OC2C1CCC(CF)=C1CC(O)CC(C)(O)C12,1.666,296.338,66.76,2,4,1,0.438668191,4.888885433
C=C1C(=O)OC2C=C(C)CCC3C(F)(F)C3(C)CCC12,3.8759,282.33,26.3,0,2,0,0.382767226,4.885867077
C=C1C(=O)OC2C1C(O)CC(C)C1C=CC(=O)C12C,1.2463,262.305,63.6,1,4,0,0.526862273,4.883769307
C=C1C(=O)OC2C1C(O)CC(C)C1C=CC(=O)C21C,1.2463,262.305,63.6,1,4,0,0.526862273,4.883769307
C=C1CCC=C(C)CCC2(C)C(C)(O)CCC2=C(C)C1CCC,6.3468,316.529,20.23,1,1,2,0.588678509,4.880596628
C=C1CC(OC)C2C(=C)C(=O)OC2C2C1CC(OC)C2C,2.3463,292.375,44.76,0,4,2,0.445077174,4.880395748
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CCCC[C@@H]12)C(C)C,5.1228,374.521,52.6,0,4,1,0.36293603,4.87337066
C=C1C(=O)OC2C1CCC(=C)C1(O)CC(O)CC(=C)C12,1.4924,276.332,66.76,2,4,0,0.399522918,4.870232911
CC1(C)CCC2C1CCC3(CC3)C2C1CC2C(C1)C2(C)C,5.9112,286.503,0,0,0,1,0.561749506,4.84000837
C=C1C(=O)OC2C1CCC(C)C1(O)C(O)CC(=C)C21,1.1822,264.321,66.76,2,4,0,0.391573392,4.835899623
CC1(C)CCCC2(C)C1CCC1(CO1)C2CC=C1CCOC1=O,4.2614,318.457,38.83,0,3,2,0.433636256,4.834690254
C=C1CC(N(C)C)C2C(=C)C(=O)OC2C2C(C)C(=O)CC12,1.8156,289.375,46.61,0,4,1,0.419525063,4.831732115
C=C1C(=O)OC2C1CCC(=C)C1C(OC(=O)C(C)C)C(O)C(=C)C21,2.1651,332.396,72.83,1,5,2,0.476523693,4.829281532
C=C1C(=O)OC2C1C(O)CC(C)C1C=C(C)C(=O)C21C,1.6364,276.332,63.6,1,4,0,0.539400338,4.827384199
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,4.6076,416.945,60.44,0,4,2,0.616611612,4.826642768
C=C1C(=O)OC2C1CCC(CO)=CCCC1(C)OC21,1.7344,264.321,59.06,1,4,1,0.339025714,4.82449829
C=C1C(=O)OC2C1CCC1(C)C3OC3CC(=C)C21,2.2278,246.306,38.83,0,3,0,0.284611914,4.819315481
C=C1C(=O)OC2C1CCC(=C)C1CC(Cl)C(=C)C12,3.2339,264.752,26.3,0,2,0,0.290602022,4.818455305
C=C1C(=O)OC2C1CCC(C)=C1CCC(C)(OC(=O)C(Cl)CCCCBr)C12,5.079,459.808,52.6,0,4,6,0.182695797,4.813667402
CC1=CC(=C)C(=O)C2C1CC2(C)C3CCC3(C)O,2.875,246.35,37.3,1,2,1,0.722318957,4.813498888
C#CCOC1(C)CCC2=C(C)CCC3=CC(=O)CC3C(O)C12,2.7915,300.398,46.53,1,3,2,0.629908464,4.813024826
CCC(C)C(=O)OC1C2C(CC(C)C3C=CC(=O)C31C)OC(=O)C2C,2.9232,348.439,69.67,0,5,3,0.733584692,4.806113999
C=C1C(=O)OC2C1CCC(C)(O)C1=CCC(C)(O)C12,1.3263,264.321,66.76,2,4,0,0.393326278,4.793590494
C=C1CCC(C(C)C)C(O)C2OC2(C)CCC1=O,2.4763,252.354,49.83,1,3,1,0.575909193,4.791005811
CC(=O)C1(O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,4.0368,374.908,54.37,1,3,1,0.753221556,4.790917168
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)CC21,3.6307,246.35,26.3,0,2,0,0.370460749,4.786392041
C=C1CC(O)C2C(C)(C)CCCC2(C)C1C=CC(=O)C1CO1,3.2801,304.43,49.83,1,3,3,0.494378038,4.778559639
C=C1C(=O)OC2C1CCC(C)=C1CCC(C)(OC(=O)C(Cl)C(C)C)C12,4.1698,366.885,52.6,0,4,3,0.325361935,4.777392233
C=C1C(=O)OC2C1CCC(C)C1(O)C(O)CC(=O)C21C,0.5852,280.32,83.83,2,5,0,0.500869266,4.777339497
C=C1C(=O)OC2C1CCC(C)C1(O)C(O)CC(=O)[C@]21C,0.5852,280.32,83.83,2,5,0,0.500869266,4.777339497
C=C1C(=O)OC2C1CCC(=C)C1CC(=O)C(=C)C12OC,1.9646,274.316,52.6,0,4,1,0.416548239,4.776412724
C=C1C(=O)OC2C1CCC(C)C1(O)C(OCCO)CC(=O)C21C,0.6018,324.373,93.06,2,6,3,0.583294726,4.770454925
C#CCOC1(C)CCC2=C(C)CCC3=CC(=O)C3CC12,3.4306,270.372,26.3,0,2,2,0.567400377,4.770156278
C=C1CCC2C(C3C1CCC3(C)O)C2(C)CCC=C(C)O,4.6079,290.447,40.46,2,2,3,0.588476752,4.769608518
CC(=O)CCC1C2CC(C)(O)C(=C)C2CCC2(C)CCC12,4.1252,290.447,37.3,1,2,3,0.793682885,4.769270866
C=C1CC(O)C2C(=C)C(=O)OC2C2C(=C)C(=O)CC12,1.1664,260.289,63.6,1,4,0,0.403204926,4.768298186
C=C1C(=O)OC2C1CCC(C)=C1CC(O)C(C)(Cl)C12,2.5728,282.767,46.53,1,3,0,0.321448831,4.766232123
C=C1CC(OC(C)C)C2C(=C)C(=O)OC2C2C(C)C(=O)CC12,2.679,304.386,52.6,0,4,2,0.446994775,4.76381608
C=C1C(O)CC2(C(C)C)CC12,1.9695,152.237,20.23,1,1,1,0.569452117,4.761195338
C=C1C(=O)OC2C1CCC(C)(O)C1CC(O)C(=C)C21,1.1822,264.321,66.76,2,4,0,0.391573392,4.758255279
C=C1C(=O)OC2C1CCC(C)=C1CCC(C)(OC(=O)C(C)Br)C12,3.6898,383.282,52.6,0,4,2,0.315943834,4.754545226
C=C1C(=O)OC2C1CCC(C)=C1CCC(C)(OC(=O)C(Br)C(C)C)C12,4.3259,411.336,52.6,0,4,3,0.30039091,4.753490051
C=C1C(=O)OC2C1CC(=O)C(C)=C1C(O)CC(C)(O)C12,0.5053,278.304,83.83,2,5,0,0.497922769,4.750805045
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(Cl)CCC)[C@@H]12,4.3139,366.885,52.6,0,4,4,0.321701038,4.750112696
N#CC1CC2C(C1)C2CC1(CCO)CCO1,1.71378,221.3,53.25,1,3,4,0.785975126,4.748474617
C=C1C(=O)OC2C1CCC(C)=C1CCC(C)(OC(=O)C(Br)CCC)C12,4.47,411.336,52.6,0,4,4,0.296536294,4.747563375
